,Ticker,Frequency
579,mntk,2
580,ag,2
581,dnow,2
582,ebs,2
583,cg,2
584,kai,2
585,nmrk,2
586,glop,2
587,clpt,2
588,lmnx,2
589,vgx,2
590,shmp,2
591,bp,2
592,amt,2
593,ltcusd,2
594,bnbusd,2
595,sif,2
596,wimi,2
597,ttwo,2
598,bud,2
599,novn,2
600,nls,2
601,beam,2
602,scco,2
603,teck,2
604,rich,2
605,vips,2
606,crto,2
607,snbr,2
608,btcx,2
609,spgs,2
610,bkllf,2
611,kl,2
612,car,2
613,mogo,2
614,comp,2
615,coke,2
616,cmi,2
617,apa,2
618,kr,2
619,lexx,2
620,cel,2
621,ecns,2
622,xtn,2
623,copx,2
624,lnc,2
625,ha,2
626,san,2
627,yolo,2
628,xlp,2
629,xop,2
630,xm,2
631,pplt,2
632,matx,2
633,sne,2
634,bitcoin,2
635,idex,2
636,gtll,2
637,couv,2
638,ctxr,2
639,fizz,2
640,srne,2
641,azn,2
642,clr,2
643,gps,2
644,rmd,2
645,db,2
646,mro,2
647,bmo,2
648,carg,2
649,gogo,2
650,ftai,2
651,erj,2
652,rio,2
653,cc,2
654,hymtf,2
655,dm,2
656,ashr,2
657,mgnx,2
658,su,2
659,cpa,2
660,tip,2
661,crb,2
662,copper,2
663,wtic,2
664,zyxi,2
665,aeri,2
666,cwen,2
667,xray,2
668,aste,2
669,mrsn,2
670,cwh,2
671,tri,2
672,bcc,2
673,nxst,2
674,bhc,2
675,cspr,2
676,ry,2
677,soxx,2
678,rut,2
679,cara,2
680,band,2
681,rig,2
682,adnt,2
683,tqqq,2
684,rsp,2
685,wood,2
686,pcce,2
687,iei,2
688,valug,2
689,cpc,2
690,boot,2
691,mas,2
692,avy,2
693,arr,2
694,bcov,2
695,krnt,2
696,csod,2
697,hubs,2
698,ptc,2
699,iphi,2
700,swks,2
701,alg,2
702,sii,2
703,fix,2
704,cmtoy,2
705,cw,2
706,lnth,2
707,tcon,2
708,ssti,2
709,esea,2
710,enrff,2
711,drq,2
712,pba,2
713,pbnaf,2
714,pmbpf,2
715,coll,2
716,ego,2
717,pvg,2
718,ecol,2
719,kwr,2
720,ndls,2
721,clw,2
722,petq,2
723,aciw,2
724,nh,2
725,golf,2
726,ccdbf,2
727,ccllf,2
728,elezf,2
729,elezy,2
730,co,2
731,bli,2
732,praa,2
733,cabo,2
734,axnx,2
735,sd,2
736,o,2
737,rwt,2
738,stra,2
739,hhc,2
740,lsxma,2
741,or,2
742,lumo,2
743,efoi,2
744,hofv,2
745,cleu,2
746,ntec,2
747,xl,2
748,canf,2
749,npa,2
750,ctib,2
751,grnq,2
752,acb,2
753,mwk,2
754,tmdx,2
755,fuse,2
756,upst,2
757,lmt,2
758,svc,2
759,je,2
760,iep,2
761,hmsy,2
762,ssp,2
763,lamr,2
764,tmst,2
765,clbs,2
766,hcat,2
767,vir,2
768,swn,2
769,nptn,2
770,rmax,2
771,pk,2
772,irtc,2
773,ftch,2
774,td,2
775,edit,2
776,cm,2
777,vrm,2
778,rblx,2
779,i,2
780,meg,2
781,vor,2
782,bolt,2
783,dmyi,2
784,scr,2
785,alus,2
786,tan,2
787,gsx,2
788,wish,2
789,amrs,2
790,calt,2
791,icad,2
792,meds,2
793,lpg,2
794,hsbc,2
795,regn,2
796,x,2
797,ufs,2
798,mdt,2
799,cf,2
800,ccmp,2
801,plt,2
802,glw,2
803,jbt,2
804,dxy,2
805,mkgp,2
806,selb,2
807,veru,2
808,cpsh,2
809,ffty,2
810,pten,2
811,jnjs,2
812,wsfs,2
813,slam,2
814,ice,2
815,grsv,2
816,mlss,2
817,heccw,2
818,etwo,2
819,etm,2
820,thcb,2
821,cmc,2
822,rtx,2
823,axp,2
824,pg,2
825,ko,2
826,ehos,2
827,evti,2
828,axcg,2
829,gyog,2
830,hlxw,2
831,ipwg,2
832,medt,2
833,ntlk,2
834,pttn,2
835,ptah,2
836,dkgr,2
837,wofa,2
838,schw,2
839,gpro,2
840,wmb,2
841,bkr,2
842,pscu,2
843,met,2
844,tree,2
845,exc,2
846,tcom,2
847,aeo,2
848,aabb,2
849,vedl,2
850,vno,2
851,qsr,2
852,ncla,2
853,sohu,1
854,tgi,1
855,pll,1
856,lthm,1
857,spxl,1
858,vrno,1
859,sbvcf,1
860,mreo,1
861,ipwr,1
862,ipod,1
863,frxbu,1
864,cvv,1
865,oncr,1
866,resn,1
867,dodo,1
868,bnb,1
869,cake,1
870,xvs,1
871,iwn,1
872,ship,1
873,tops,1
874,mmyt,1
875,cfx,1
876,noa,1
877,supv,1
878,hasi,1
879,hst,1
880,crox,1
881,nvd,1
882,naaim,1
883,aaww,1
884,staa,1
885,asan,1
886,maxr,1
887,lrcx,1
888,oled,1
889,pltry,1
890,atvi,1
891,blink,1
892,lulu,1
893,spac,1
894,pbf,1
895,eigr,1
896,faro,1
897,aezs,1
898,ura,1
899,yyy,1
900,qqqj,1
901,altm,1
902,ipgp,1
903,hifs,1
904,ssrm,1
905,okta,1
906,stag,1
907,stagpc,1
908,evr,1
909,sirc,1
910,sar,1
911,glng,1
912,kmf,1
913,tpgy,1
914,mo,1
915,irm,1
916,bkt,1
917,dflyf,1
918,tpa,1
919,tpc,1
920,altaf,1
921,hei,1
922,sgc,1
923,cqqq,1
924,fxi,1
925,ety,1
926,ntgr,1
927,pdi,1
928,skt,1
929,vti,1
930,hyi,1
931,leg,1
932,ssd,1
933,gbmfx,1
934,mmp,1
935,ocanf,1
936,ngl,1
937,nglpb,1
938,nglpc,1
939,enbl,1
940,enb,1
941,crl,1
942,pnnt,1
943,soly,1
944,vktx,1
945,sxi,1
946,egp,1
947,opygy,1
948,nvs,1
949,iag,1
950,ago,1
951,sxyay,1
952,skfof,1
953,rtlr,1
954,aia,1
955,lfus,1
956,ax,1
957,cold,1
958,rnsdf,1
959,rnlsy,1
960,e,1
961,eipaf,1
962,arref,1
963,rbs,1
964,rbspf,1
965,danoy,1
966,gpdnf,1
967,ssref,1
968,ssrey,1
969,tv,1
970,grpff,1
971,glpg,1
972,glpgf,1
973,ngd,1
974,srcpa,1
975,lnt,1
976,syy,1
977,rhhby,1
978,rhhbf,1
979,rhhvf,1
980,prog,1
981,slp,1
982,rgp,1
983,wfaff,1
984,wfafy,1
985,aukny,1
986,ackdf,1
987,alsn,1
988,sggkf,1
989,sggky,1
990,snps,1
991,ipplf,1
992,ftdr,1
993,jakk,1
994,indt,1
995,rxn,1
996,qbeif,1
997,qbiey,1
998,gsky,1
999,rgen,1
1000,byddf,1
1001,byddy,1
1002,apcx,1
1003,besiy,1
1004,besvf,1
1005,tds,1
1006,tdi,1
1007,tda,1
1008,alizf,1
1009,alizy,1
1010,macro,1
1011,bcoin,1
1012,blpd,1
1013,xp,1
1014,mmdef,1
1015,appl,1
1016,apvo,1
1017,sp,1
1018,codx,1
1019,sbny,1
1020,lng,1
1021,oln,1
1022,sav,1
1023,amz,1
1024,shlx,1
1025,abr,1
1026,fro,1
1027,dte,1
1028,b,1
1029,por,1
1030,crvs,1
1031,goed,1
1032,dsp,1
1033,sgfy,1
1034,capa,1
1035,spgsu,1
1036,ipo,1
1037,gnog,1
1038,rsi,1
1039,fans,1
1040,gomrf,1
1041,tick,1
1042,orb,1
1043,rty,1
1044,qual,1
1045,psx,1
1046,cerc,1
1047,rell,1
1048,mvis,1
1049,hig,1
1050,moh,1
1051,rbnc,1
1052,bku,1
1053,hone,1
1054,sun,1
1055,cde,1
1056,clx,1
1057,hubg,1
1058,ing,1
1059,nxgn,1
1060,wab,1
1061,sxtc,1
1062,dxr,1
1063,tffp,1
1064,mdgs,1
1065,trmt,1
1066,bbio,1
1067,txrh,1
1068,plnt,1
1069,keys,1
1070,jmp,1
1071,amn,1
1072,tslx,1
1073,bntc,1
1074,imcr,1
1075,wb,1
1076,vyvgf,1
1077,bgfv,1
1078,rgr,1
1079,vygvf,1
1080,invh,1
1081,jef,1
1082,jff,1
1083,dltr,1
1084,swavs,1
1085,mco,1
1086,mktx,1
1087,sap,1
1088,opk,1
1089,bitw,1
1090,vcyt,1
1091,gnrc,1
1092,nbr,1
1093,nari,1
1094,fprx,1
1095,soi,1
1096,brag,1
1097,npth,1
1098,ely,1
1099,ivfh,1
1100,apxt,1
1101,nvta,1
1102,cag,1
1103,bil,1
1104,gbil,1
1105,usfr,1
1106,jpst,1
1107,mint,1
1108,pp,1
1109,ruth,1
1110,trssf,1
1111,cern,1
1112,it,1
1113,ir,1
1114,aos,1
1115,bdx,1
1116,fox,1
1117,ipg,1
1118,jwm,1
1119,hiho,1
1120,xnet,1
1121,snp,1
1122,matic,1
1123,exm,1
1124,xsw,1
1125,pbs,1
1126,moo,1
1127,ipay,1
1128,blok,1
1129,ht,1
1130,nvt,1
1131,cbre,1
1132,mesa,1
1133,hgf,1
1134,vegi,1
1135,xlv,1
1136,kbe,1
1137,psj,1
1138,fdn,1
1139,ihi,1
1140,ihe,1
1141,xhe,1
1142,lasr,1
1143,algt,1
1144,uhal,1
1145,wix,1
1146,lspd,1
1147,cybr,1
1148,ozon,1
1149,vwagy,1
1150,slab,1
1151,tcehy,1
1152,kkr,1
1153,gbci,1
1154,byd,1
1155,chdn,1
1156,pdypy,1
1157,teum,1
1158,srax,1
1159,unfi,1
1160,hmn,1
1161,ctsh,1
1162,epam,1
1163,pte,1
1164,mitt,1
1165,dhi,1
1166,phm,1
1167,bfch,1
1168,iso,1
1169,isco,1
1170,trch,1
1171,apyp,1
1172,acwi,1
1173,tak,1
1174,sfix,1
1175,mik,1
1176,lscc,1
1177,tell,1
1178,csco,1
1179,slm,1
1180,rlt,1
1181,kss,1
1182,dks,1
1183,mpc,1
1184,ben,1
1185,amtx,1
1186,yell,1
1187,knx,1
1188,lci,1
1189,tal,1
1190,form,1
1191,spaq,1
1192,r,1
1193,mcf,1
1194,eols,1
1195,faz,1
1196,ontx,1
1197,ctrm,1
1198,kopn,1
1199,zto,1
1200,fivn,1
1201,nxe,1
1202,otic,1
1203,srbp,1
1204,zyne,1
1205,momo,1
1206,wti,1
1207,prmw,1
1208,cnx,1
1209,vih,1
1210,rgi,1
1211,tyx,1
1212,rcd,1
1213,hbi,1
1214,bkra,1
1215,bkrb,1
1216,cbdhf,1
1217,btaq,1
1218,lgvw,1
1219,srac,1
1220,slgwf,1
1221,ayrwf,1
1222,ffwf,1
1223,inlb,1
1224,alt,1
1225,adms,1
1226,ung,1
1227,fxe,1
1228,qqqs,1
1229,bsqr,1
1230,eem,1
1231,auy,1
1232,ivr,1
1233,altuw,1
1234,gtec,1
1235,manu,1
1236,bliaq,1
1237,mub,1
1238,mtch,1
1239,thrm,1
1240,tgna,1
1241,ssys,1
1242,novt,1
1243,vst,1
1244,pzza,1
1245,ntnx,1
1246,real,1
1247,rlgy,1
1248,ldos,1
1249,mgy,1
1250,arnc,1
1251,atro,1
1252,xec,1
1253,trex,1
1254,espr,1
1255,cdev,1
1256,tsm,1
1257,rh,1
1258,five,1
1259,pgny,1
1260,g,1
1261,q,1
1262,qqew,1
1263,hui,1
1264,psmt,1
1265,cpce,1
1266,nyad,1
1267,oex,1
1268,tirx,1
1269,tw,1
1270,anss,1
1271,burn,1
1272,xlc,1
1273,xlb,1
1274,sf,1
1275,gol,1
1276,tup,1
1277,ten,1
1278,sqqq,1
1279,goos,1
1280,tlpff,1
1281,tlpfy,1
1282,kalu,1
1283,cduaf,1
1284,cnutf,1
1285,cnauf,1
1286,enia,1
1287,bvrdf,1
1288,ucbjf,1
1289,ucbjy,1
1290,mogu,1
1291,qbcrf,1
1292,qbcaf,1
1293,alim,1
1294,pesaf,1
1295,agesf,1
1296,agesy,1
1297,cocal,1
1298,rdeif,1
1299,rdeiy,1
1300,arkaf,1
1301,arkay,1
1302,brlxf,1
1303,mtbc,1
1304,mtbcp,1
1305,fplsf,1
1306,drtt,1
1307,psytf,1
1308,prft,1
1309,ardx,1
1310,boarf,1
1311,orocf,1
1312,cco,1
1313,apen,1
1314,szevf,1
1315,szevy,1
1316,kof,1
1317,cocsf,1
1318,kimtf,1
1319,gtn,1
1320,gtna,1
1321,gva,1
1322,laws,1
1323,zeus,1
1324,pntg,1
1325,wbt,1
1326,rily,1
1327,rilyl,1
1328,rilyz,1
1329,fss,1
1330,cwt,1
1331,eme,1
1332,www,1
1333,spns,1
1334,gts,1
1335,fve,1
1336,leaf,1
1337,ahexf,1
1338,ahexy,1
1339,plmr,1
1340,grin,1
1341,anzff,1
1342,anzly,1
1343,cfpuf,1
1344,rgrnf,1
1345,tusk,1
1346,ora,1
1347,cxbmf,1
1348,grbmf,1
1349,bmboy,1
1350,amvmf,1
1351,mondf,1
1352,mondy,1
1353,phojy,1
1354,ryi,1
1355,sgbaf,1
1356,trs,1
1357,aalbf,1
1358,salrf,1
1359,salry,1
1360,wlms,1
1361,axahf,1
1362,axahy,1
1363,pprqf,1
1364,tnisf,1
1365,tnisy,1
1366,icagy,1
1367,babwf,1
1368,reml,1
1369,aaukf,1
1370,ngloy,1
1371,srrtf,1
1372,wpc,1
1373,cve,1
1374,antm,1
1375,azo,1
1376,amwd,1
1377,mndjf,1
1378,ingxf,1
1379,hkxcf,1
1380,hkxcy,1
1381,olmif,1
1382,olmiy,1
1383,rcdtf,1
1384,mrin,1
1385,amadf,1
1386,amady,1
1387,kra,1
1388,gef,1
1389,gefb,1
1390,opra,1
1391,hmhc,1
1392,exetf,1
1393,stxs,1
1394,kw,1
1395,kxi,1
1396,ryam,1
1397,engiy,1
1398,engqf,1
1399,scbff,1
1400,scbfy,1
1401,rm,1
1402,omf,1
1403,nycbpa,1
1404,sepjf,1
1405,sepjy,1
1406,krp,1
1407,cstm,1
1408,goss,1
1409,kzmyf,1
1410,kzmyy,1
1411,dtegf,1
1412,dtegy,1
1413,sptn,1
1414,dms,1
1415,mrprf,1
1416,subcy,1
1417,acgyf,1
1418,huya,1
1419,rtmvf,1
1420,rtmvy,1
1421,basfy,1
1422,bffaf,1
1423,lsxmk,1
1424,lsxmb,1
1425,vrna,1
1426,vnapf,1
1427,afin,1
1428,afinp,1
1429,cpk,1
1430,oas,1
1431,omp,1
1432,sckt,1
1433,wlk,1
1434,nkda,1
1435,indu,1
1436,phun,1
1437,useg,1
1438,cei,1
1439,hoth,1
1440,uwmc,1
1441,hive,1
1442,arbkf,1
1443,sbg,1
1444,stic,1
1445,dnmr,1
1446,yi,1
1447,slb,1
1448,ibuy,1
1449,mgln,1
1450,lbrda,1
1451,rhp,1
1452,qrtea,1
1453,reph,1
1454,peg,1
1455,plym,1
1456,ofix,1
1457,imux,1
1458,cveo,1
1459,pnm,1
1460,modv,1
1461,nwn,1
1462,slca,1
1463,evrg,1
1464,rngr,1
1465,ihrt,1
1466,ta,1
1467,cwk,1
1468,brmk,1
1469,alex,1
1470,cdxs,1
1471,intz,1
1472,gnmk,1
1473,cycc,1
1474,bgne,1
1475,rlj,1
1476,fdus,1
1477,regi,1
1478,msex,1
1479,ekso,1
1480,asmb,1
1481,lhcg,1
1482,onem,1
1483,anab,1
1484,alrm,1
1485,pcti,1
1486,iin,1
1487,atsg,1
1488,erie,1
1489,achc,1
1490,lmat,1
1491,cube,1
1492,main,1
1493,iova,1
1494,pbyi,1
1495,stay,1
1496,icfi,1
1497,adus,1
1498,aqms,1
1499,zixi,1
1500,vygr,1
1501,vicr,1
1502,uve,1
1503,uhs,1
1504,swx,1
1505,sail,1
1506,ptct,1
1507,out,1
1508,ogs,1
1509,mrtx,1
1510,mram,1
1511,med,1
1512,icui,1
1513,gkos,1
1514,eix,1
1515,drna,1
1516,bmrn,1
1517,apls,1
1518,amh,1
1519,altr,1
1520,allo,1
1521,evh,1
1522,ear,1
1523,foxf,1
1524,nuva,1
1525,foe,1
1526,cytk,1
1527,cers,1
1528,zgnx,1
1529,axon,1
1530,ntus,1
1531,supn,1
1532,mdrx,1
1533,docn,1
1534,expc,1
1535,lcid,1
1536,apis,1
1537,soxl,1
1538,labu,1
1539,srpt,1
1540,uone,1
1541,neon,1
1542,hudi,1
1543,auud,1
1544,cpng,1
1545,kbevf,1
1546,raca,1
1547,twtrs,1
1548,tern,1
1549,angn,1
1550,mlac,1
1551,oscr,1
1552,aone,1
1553,seer,1
1554,mass,1
1555,sbe,1
1556,chpt,1
1557,arec,1
1558,bfi,1
1559,add,1
1560,cmcsa,1
1561,payc,1
1562,crsp,1
1563,gsxq,1
1564,yext,1
1565,bj,1
1566,cien,1
1567,silk,1
1568,avgo,1
1569,ief,1
1570,cdna,1
1571,cmrx,1
1572,akro,1
1573,paya,1
1574,agio,1
1575,dk,1
1576,fly,1
1577,gfl,1
1578,gmlp,1
1579,hmlp,1
1580,lstr,1
1581,sage,1
1582,aig,1
1583,alc,1
1584,ceqp,1
1585,cmco,1
1586,knsl,1
1587,metx,1
1588,ghsi,1
1589,gtes,1
1590,focs,1
1591,axsm,1
1592,core,1
1593,cvet,1
1594,afi,1
1595,cxw,1
1596,incy,1
1597,tgc,1
1598,vvnt,1
1599,nak,1
1600,tbt,1
1601,hims,1
1602,drip,1
1603,aihs,1
1604,apdn,1
1605,natgas,1
1606,silver,1
1607,kos,1
1608,olo,1
1609,sftw,1
1610,aacq,1
1611,bkng,1
1612,fsiv,1
1613,kcf,1
1614,ymf,1
1615,uniusd,1
1616,dogeusd,1
1617,nkd,1
1618,drnk,1
1619,sypr,1
1620,xpl,1
1621,klxe,1
1622,rnwk,1
1623,cbx,1
1624,aptv,1
1625,blnk,1
1626,calx,1
1627,alto,1
1628,coty,1
1629,amkr,1
1630,dds,1
1631,expi,1
1632,cfe,1
1633,denn,1
1634,dust,1
1635,taatv,1
1636,ugev,1
1637,ksiv,1
1638,aspu,1
1639,njmc,1
1640,rcwax,1
1641,spg,1
1642,posh,1
1643,trib,1
1644,gtch,1
1645,eght,1
1646,cbbt,1
1647,mnkd,1
1648,wy,1
1649,bhp,1
1650,gsg,1
1651,dbc,1
1652,ntrs,1
1653,ctxs,1
1654,xlre,1
1655,mrbi,1
1656,stip,1
1657,vtip,1
1658,spip,1
1659,schp,1
1660,foxa,1
1661,cmsa,1
1662,xers,1
1663,nvcr,1
1664,spacs,1
1665,hgv,1
1666,xrx,1
1667,rost,1
1668,re,1
1669,pxd,1
1670,fls,1
1671,gl,1
1672,nov,1
1673,chtr,1
1674,hsic,1
1675,unh,1
1676,ftv,1
1677,fbhs,1
1678,nwl,1
1679,cah,1
1680,tap,1
1681,visl,1
1682,pkg,1
1683,gww,1
1684,tscrd,1
1685,soac,1
1686,luna,1
1687,sol,1
1688,dot,1
1689,gtbif,1
